Area,Total,Done,Limitations,Missing,Scored Total,Scored Done,Scored Done %
Universal contract requirements,56,n/a,n/a,n/a,n/a,n/a,n/a
SDK Direct Governance,56,56,0,0,56,56,100.0%
Claude Code Governance,68,67,1,0,67,67,100.0%
Codex Governance,65,63,2,0,63,63,100.0%
Cursor Governance,82,80,2,0,80,80,100.0%
OpenAI Agent SDK Governance,58,57,1,0,57,57,100.0%
Anthropic Agent SDK Governance,60,60,0,0,60,60,100.0%
MCP Protocol Governance,63,61,2,0,61,61,100.0%
CopilotKit Governance,64,63,1,0,63,63,100.0%
n8n Governance,67,65,2,0,65,65,100.0%
Implementation Total,583,572,11,0,572,572,100.0%
