Area,Group,ID,Status,Scored,Provider,Boundary Owner,Requirement
Universal contract requirements,Verdicts,REQ-001,universal,false,,,allow
Universal contract requirements,Verdicts,REQ-002,universal,false,,,constrain
Universal contract requirements,Verdicts,REQ-003,universal,false,,,require_approval
Universal contract requirements,Verdicts,REQ-004,universal,false,,,block
Universal contract requirements,Verdicts,REQ-005,universal,false,,,halt
Universal contract requirements,Lifecycle / Events,REQ-006,universal,false,,,WorkflowStarted
Universal contract requirements,Lifecycle / Events,REQ-007,universal,false,,,WorkflowCompleted
Universal contract requirements,Lifecycle / Events,REQ-008,universal,false,,,WorkflowFailed
Universal contract requirements,Lifecycle / Events,REQ-009,universal,false,,,ActivityStarted
Universal contract requirements,Lifecycle / Events,REQ-010,universal,false,,,ActivityCompleted
Universal contract requirements,Lifecycle / Events,REQ-011,universal,false,,,SignalReceived
Universal contract requirements,Lifecycle / Events,REQ-012,universal,false,,,Handoff
Universal contract requirements,Content / Span Types,REQ-013,universal,false,,,llm
Universal contract requirements,Content / Span Types,REQ-014,universal,false,,,llm_embedding
Universal contract requirements,Content / Span Types,REQ-015,universal,false,,,llm_tool_call
Universal contract requirements,Content / Span Types,REQ-016,universal,false,,,file_read
Universal contract requirements,Content / Span Types,REQ-017,universal,false,,,file_open
Universal contract requirements,Content / Span Types,REQ-018,universal,false,,,file_write
Universal contract requirements,Content / Span Types,REQ-019,universal,false,,,file_delete
Universal contract requirements,Content / Span Types,REQ-020,universal,false,,,shell
Universal contract requirements,Content / Span Types,REQ-021,universal,false,,,http
Universal contract requirements,Content / Span Types,REQ-022,universal,false,,,db
Universal contract requirements,Content / Span Types,REQ-023,universal,false,,,mcp
Universal contract requirements,Behavior / Rule Triggers,REQ-024,universal,false,,,http_get
Universal contract requirements,Behavior / Rule Triggers,REQ-025,universal,false,,,http_post
Universal contract requirements,Behavior / Rule Triggers,REQ-026,universal,false,,,http_put
Universal contract requirements,Behavior / Rule Triggers,REQ-027,universal,false,,,http_patch
Universal contract requirements,Behavior / Rule Triggers,REQ-028,universal,false,,,http_delete
Universal contract requirements,Behavior / Rule Triggers,REQ-029,universal,false,,,http
Universal contract requirements,Behavior / Rule Triggers,REQ-030,universal,false,,,llm_completion
Universal contract requirements,Behavior / Rule Triggers,REQ-031,universal,false,,,llm_embedding
Universal contract requirements,Behavior / Rule Triggers,REQ-032,universal,false,,,llm_tool_call
Universal contract requirements,Behavior / Rule Triggers,REQ-033,universal,false,,,database_select
Universal contract requirements,Behavior / Rule Triggers,REQ-034,universal,false,,,database_insert
Universal contract requirements,Behavior / Rule Triggers,REQ-035,universal,false,,,database_update
Universal contract requirements,Behavior / Rule Triggers,REQ-036,universal,false,,,database_delete
Universal contract requirements,Behavior / Rule Triggers,REQ-037,universal,false,,,database_query
Universal contract requirements,Behavior / Rule Triggers,REQ-038,universal,false,,,file_read
Universal contract requirements,Behavior / Rule Triggers,REQ-039,universal,false,,,file_write
Universal contract requirements,Behavior / Rule Triggers,REQ-040,universal,false,,,file_open
Universal contract requirements,Behavior / Rule Triggers,REQ-041,universal,false,,,file_delete
Universal contract requirements,Behavior / Rule Triggers,REQ-042,universal,false,,,internal
Universal contract requirements,Governance Subsystems,REQ-043,universal,false,,,OPA/Rego policy
Universal contract requirements,Governance Subsystems,REQ-044,universal,false,,,Guardrails
Universal contract requirements,Governance Subsystems,REQ-045,universal,false,,,PII/redaction
Universal contract requirements,Governance Subsystems,REQ-046,universal,false,,,Behavior rules
Universal contract requirements,Governance Subsystems,REQ-047,universal,false,,,Goal alignment
Universal contract requirements,Governance Subsystems,REQ-048,universal,false,,,Approval/HITL
Universal contract requirements,Governance Subsystems,REQ-049,universal,false,,,Usage
Universal contract requirements,Governance Subsystems,REQ-050,universal,false,,,Cost
Universal contract requirements,Governance Subsystems,REQ-051,universal,false,,,Tracing/spans
Universal contract requirements,Governance Subsystems,REQ-052,universal,false,,,Audit logs
Universal contract requirements,Governance Subsystems,REQ-053,universal,false,,,Session state
Universal contract requirements,Governance Subsystems,REQ-054,universal,false,,,Fault handling
Universal contract requirements,Governance Subsystems,REQ-055,universal,false,,,Storage/artifacts
Universal contract requirements,Governance Subsystems,REQ-056,universal,false,,,KMS/local signing/attestation
SDK Direct Governance,,SDK-001,done,true,,,Create governance sessions
SDK Direct Governance,,SDK-002,done,true,,,Send governance requests to backend/core
SDK Direct Governance,,SDK-003,done,true,,,Receive backend/core verdicts
SDK Direct Governance,,SDK-004,done,true,,,Enforce allow
SDK Direct Governance,,SDK-005,done,true,,,Enforce constrain
SDK Direct Governance,,SDK-006,done,true,,,Enforce require_approval
